equipment,date,variable1,variable2
000000,2014-07-17,0.0,0.0
000000,2014-07-18,7.85,137.5
000000,2014-07-19,7.4,140.5
000000,2014-07-20,7.4,129.0
000000,2014-07-21,6.9,116.0
000000,2014-07-22,9.05,148.5
000000,2014-07-23,7.8,143.5
000000,2014-07-24,4.7,73.0
000000,2014-07-25,9.35,150.0
000000,2014-07-26,8.35,149.0
000000,2014-07-27,0.0,0.0
000000,2014-07-28,0.0,0.0
000000,2014-07-29,0.0,0.0
000000,2014-07-30,5.6,103.0
000000,2014-07-31,9.2,158.0
000000,2014-08-01,13.8,276.5
000000,2014-08-02,9.9,180.0
000000,2014-08-03,10.0,184.5
000000,2014-08-04,8.65,166.0
000000,2014-08-05,12.85,227.5
000000,2014-08-06,9.4,162.0
000000,2014-08-07,8.85,150.0
000000,2014-08-08,9.9,177.0
000000,2014-08-09,11.9,244.5
000000,2014-08-10,0.0,0.0
000000,2014-08-11,3.2,56.0
000000,2014-08-12,5.7,80.5
000000,2014-08-13,9.2,175.5
000000,2014-08-14,6.95,152.5
000000,2014-08-15,8.95,162.0
000000,2014-08-16,15.15,300.0
000000,2014-08-17,9.6,185.5
000000,2014-08-18,14.85,264.5
000000,2014-08-19,11.7,224.0
000000,2014-08-20,12.75,207.5
000000,2014-08-21,12.75,209.0
000000,2014-08-22,14.8,270.5
000000,2014-08-23,7.25,124.0
000000,2014-08-24,5.9,106.5
000000,2014-08-25,0.6,3.5
000000,2014-08-26,0.75,3.5
000000,2014-08-27,7.65,152.0
000000,2014-08-28,4.15,50.0
000000,2014-08-29,16.1,298.0
000000,2014-08-30,12.0,188.5
000000,2014-08-31,8.05,154.0
000000,2014-09-01,9.7,191.0
000000,2014-09-02,12.25,201.0
000000,2014-09-03,9.5,172.5
000000,2014-09-04,10.5,195.0
000000,2014-09-05,14.95,294.5
000000,2014-09-06,3.8,21.5
000000,2014-09-07,0.4,2.5
000000,2014-09-08,7.4,124.5
000000,2014-09-09,7.7,135.5
000000,2014-09-10,8.85,142.5
000000,2014-09-11,12.2,228.5
000000,2014-09-12,16.0,312.0
000000,2014-09-13,11.35,198.5
000000,2014-09-14,8.95,140.5
000000,2014-09-15,14.3,252.0
000000,2014-09-16,15.7,279.5
000000,2014-09-17,6.9,108.0
000000,2014-09-18,8.85,147.5
000000,2014-09-19,11.95,228.0
000000,2014-09-20,11.45,167.0
000000,2014-09-21,9.0,153.0
000000,2014-09-22,15.7,259.5
000000,2014-09-23,12.5,172.0
000000,2014-09-24,14.5,242.0
000000,2014-09-25,15.65,243.0
000000,2014-09-26,16.5,279.0
000000,2014-09-27,7.6,126.5
000000,2014-09-28,6.15,103.0
000000,2014-09-29,11.8,154.5
000000,2014-09-30,10.15,141.0
000000,2014-10-01,12.8,226.0
000000,2014-10-02,14.6,223.0
000000,2014-10-03,0.0,0.0
000000,2014-10-04,0.0,0.0
000000,2014-10-05,0.0,0.0
000000,2014-10-06,4.9,79.5
000000,2014-10-07,7.85,133.5
000000,2014-10-08,6.0,121.0
000000,2014-10-09,7.6,137.0
000000,2014-10-10,6.85,113.5
000000,2014-10-11,1.9,31.0
000000,2014-10-12,4.9,91.5
000000,2014-10-13,5.3,101.5
000000,2014-10-14,0.0,0.0
000000,2014-10-15,0.0,0.0
000000,2014-10-16,6.75,117.0
000000,2014-10-17,6.45,103.0
000000,2014-10-18,13.55,257.0
000000,2014-10-19,8.95,149.0
000000,2014-10-20,10.1,143.0
000000,2014-10-21,8.5,121.0
000000,2014-10-22,4.15,71.0
000000,2014-10-23,13.45,243.0
000000,2014-10-24,11.45,199.0
000000,2014-10-25,11.7,219.0
000000,2014-10-26,0.0,0.0
000000,2014-10-27,7.6,125.5
000000,2014-10-28,2.7,38.5
000000,2014-10-29,4.2,36.5
